Time,Resources,BodySize,Groups
Early,Low,3.9,Early.Low
Early,Low,3.5,Early.Low
Early,Low,3.8,Early.Low
Early,Low,2.9,Early.Low
Early,Low,3.4,Early.Low
Early,Low,3.2,Early.Low
Early,Low,3.7,Early.Low
Late,Low,3.9,Late.Low
Late,Low,4,Late.Low
Late,Low,4.6,Late.Low
Late,Low,4,Late.Low
Late,Low,3.8,Late.Low
Early,High,4.2,Early.High
Early,High,4.2,Early.High
Early,High,4.4,Early.High
Early,High,3.5,Early.High
Early,High,4.2,Early.High
Early,High,3.8,Early.High
Early,High,3.6,Early.High
Early,High,3.8,Early.High
Early,High,3.7,Early.High
Early,High,3.3,Early.High
Late,High,3.7,Late.High
Late,High,2.8,Late.High
Late,High,4,Late.High
