order,Plot_ID,Treatment,TotalEggs_2009,Larvae_2010,Eggs_2010
1,101.1,Control,25,0,18
2,101.2,Control,25,0,34
3,101.3,Control,25,2,34
7,103.1,Control,26,2,53
8,103.2,Control,25,1,33
9,103.3,Control,36,1,35
16,106.1,Control,52,0,25
17,106.2,Control,27,0,11
18,106.3,Control,33,0,21
19,107.1,Control,25,0,19
20,107.2,Control,27,0,6
21,107.3,Control,25,1,6
25,109.1,Control,30,1,17
26,109.2,Control,53,3,25
27,109.3,Control,103,0,55
31,111.1,Control,26,0,24
32,111.2,Control,28,0,27
33,111.3,Control,25,3,35
37,113.1,Control,20,2,19
38,113.2,Control,20,0,0
39,113.3,Control,21,1,19
46,116.1,Control,20,0,18
47,116.2,Control,20,0,28
48,116.3,Control,28,2,48
52,118.1,Control,35,1,35
53,118.2,Control,25,2,44
54,118.3,Control,28,0,27
58,120.1,Control,20,0,6
59,120.2,Control,20,0,26
60,120.3,Control,20,1,15
4,102.1,Hcide,34,0,50
5,102.2,Hcide,38,1,109
6,102.3,Hcide,25,1,18
10,104.1,Hcide,25,0,21
11,104.2,Hcide,26,0,44
12,104.3,Hcide,33,0,47
13,105.1,Hcide,25,1,23
14,105.2,Hcide,25,0,18
15,105.3,Hcide,27,1,21
22,108.1,Hcide,28,0,12
23,108.2,Hcide,25,0,8
24,108.3,Hcide,46,0,34
28,110.1,Hcide,45,1,32
29,110.2,Hcide,29,1,35
30,110.3,Hcide,33,1,44
34,112.1,Hcide,26,0,58
35,112.2,Hcide,32,1,43
36,112.3,Hcide,67,2,118
40,114.1,Hcide,20,0,20
41,114.2,Hcide,20,0,43
42,114.3,Hcide,39,1,46
43,115.1,Hcide,56,0,84
44,115.2,Hcide,40,0,37
45,115.3,Hcide,42,0,51
49,117.1,Hcide,25,1,46
50,117.2,Hcide,26,0,17
51,117.3,Hcide,25,2,51
55,119.1,Hcide,20,0,27
56,119.2,Hcide,20,0,18
57,119.3,Hcide,20,1,26
