Code,Latitude,Longitude,hours,count
CTBA,41.9123,-72.9884,72.5,44
CTEW,41.7966,-71.9274,48.5,15
CTGS,41.0826,-73.6138,182.5,39
CTHA,41.766,-72.6727,198,44
CTLH,41.7703,-73.2724,69.95,24
CTLS,41.9449,-73.4399,49.5,7
CTNH,41.3007,-72.9323,130,13
CTNL,41.3236,-72.1007,137,10
CTOL,41.2924,-72.427,97.75,5
CTOX,41.4,-73.1411,76.5,19
CTQV,41.4747,-72.7273,134.86,9
CTSM,41.1742,-73.1099,93,18
CTSR,41.5533,-72.4485,43,12
CTST,41.8116,-72.2497,91.25,25
CTWE,41.164,-73.358,60.5,10
CTWR,41.5352,-73.2791,81.5,18
MAAN,42.635,-71.1419,106.3,33
MAAT,42.5944,-72.2203,100,59
MABB,41.6517,-70.6206,66,19
MACA,42.6112,-70.73,127,16
MACB,42.4086,-73.2537,55,15
MACC,41.7207,-69.9968,81,15
MACO,42.4333,-71.4333,366.57,172
MAGB,42.3973,-71.0955,318.5,24
MAGO,42.5869,-71.6497,101.5,41
MAGR,42.5879,-72.6002,72,21
MAMA,42.0973,-70.6537,68,9
MAMC,41.7004,-70.3002,88,33
MAMI,42.1675,-71.3572,68.75,11
MANA,41.2901,-70.0901,111,0
MANB,42.6442,-73.1937,45.5,20
MANE,42.7398,-70.8987,146,34
MANF,41.6,-70.8667,48,6
MANO,42.3439,-72.6028,302.91,80
MAPL,41.8733,-70.6012,65.95,9
MAQB,42.3712,-72.2783,92,31
MAQU,42.2167,-70.9333,70.5,10
MASO,42.1517,-73.3276,65,25
MASP,42.1294,-72.5089,104,25
MAST,42.1372,-72.0976,119.05,65
MAWE,41.2726,-70.3495,20,28
MAWO,42.5167,-71.9333,71.5,48
MEAU,42.3238,-71.7937,97,21
MEBB,44.3072,-69.7817,55.5,35
MEBF,44.7005,-68.7861,83,25
MEBH,44.5073,-68.9418,61.75,43
MEBK,44.4342,-68.5908,57.16,53
MEBL,43.4434,-70.4788,56.5,46
MEBP,44.1605,-69.5073,39.5,11
MECA,44.9496,-67.1788,2.2782,6
MECB,43.7803,-69.7443,49.8,10
MEDI,44.2292,-68.6767,82.99,32
MEEA,44.9059,-66.9852,16.5,7
MEFA,44.7031,-70.1631,29.5,22
MEFB,43.8229,-70.0268,83.7,55
MEHL,44.884,-69.3977,44.25,28
MELA,44.1051,-70.2035,41,10
MEMD,44.336,-68.3116,46.11,14
MEMJ,44.5377,-67.6491,40.32,10
MEOO,44.9052,-68.6839,78,35
MEPA,43.5858,-70.2242,112.2,24
MEPD,43.9332,-69.4666,45,23
MEPI,46.6812,-68.0155,44.25,8
MESP,44.4278,-68.1076,39.22,3
MESW,44.0725,-70.819,52.01,26
METR,44.0815,-69.1684,61.5,20
MEUN,44.6083,-69.3371,44.5,48
MEWA,44.5641,-69.6631,66,30
NHBV,43.8438,-71.8897,28,5
NHCF,44.2201,-71.4117,45.05,7
NHCN,43.2192,-71.5375,73,45
NHCS,42.9833,-70.8333,66,33
NHEU,44.7811,-71.1379,45.52,22
NHGB,43.6112,-71.8495,25,11
NHHN,43.7167,-72.2333,89.5,50
NHKE,42.9303,-72.3123,82.5,49
NHLD,43.1667,-70.9833,117.75,53
NHLN,43.5548,-71.5194,74.5,67
NHLS,43.3803,-72.0498,45.5,42
NHLT,44.2667,-71.75,27,13
NHMA,42.9707,-71.3073,58.25,22
NHNH,42.8049,-71.5462,128.25,43
NHPI,45.0889,-71.2888,31.95,16
NHSA,43.8074,-71.4397,74,53
RINC,41.5369,-71.1566,117.49,8
RIBI,41.2324,-71.5777,37,0
VTBA,44.3259,-72.001,57.49,45
VTBE,42.8892,-73.2155,58.5,14
VTBR,42.8561,-72.6606,49,27
VTBU,44.4769,-73.2213,120.93,44
VTCS,44.817,-73.2492,73.58,36
VTFE,44.1833,-73.3023,139.25,40
VTFR,44.9166,-72.7433,49,40
VTLA,44.579,-72.6587,54.5,29
VTMA,44.0833,-73.0167,18.5,17
VTMB,43.9634,-73.2723,112.75,28
VTMR,44.15,-72.7333,68.14,28
VTPL,44.2789,-72.438,83.75,69
VTRU,43.6041,-73.0145,65.25,32
VTSP,43.3328,-72.5257,71.1,35
VTSR,43.1008,-72.5414,47,34
VTWI,43.1858,-72.8719,31,14
VTWO,43.6165,-72.6592,58,25
