Species,Host,Treat,Mass
TCB,Castilleja,Control,4.53
TCB,Castilleja,Control,3.67
TCB,Castilleja,Control,5.84
TCB,Castilleja,Control,2
TCB,Castilleja,Control,4.25
TCB,Castilleja,Control,5.44
TCB,Castilleja,Control,3.37
TCB,Castilleja,Control,4.2
TCB,Castilleja,Control,4
TCB,Castilleja,Control,2.95
TCB,Castilleja,Control,3.8
TCB,Castilleja,Control,5.14
TCB,Castilleja,Control,4.66
TCB,Castilleja,Control,6.05
TCB,Castilleja,Control,6.23
TCB,Castilleja,Control,3.87
TCB,Castilleja,Control,4.35
TCB,Castilleja,Control,5.37
TCB,Castilleja,Control,4.14
TCB,Castilleja,Control,6
TCB,Castilleja,Control,4.42
TCB,Castilleja,Control,4.88
TCB,Castilleja,Control,3.08
TCB,Castilleja,Control,6.37
TCB,Castilleja,Control,3.68
TCB,Castilleja,Control,4.27
TCB,Castilleja,Control,5.42
TCB,Castilleja,Control,3.31
TCB,Castilleja,Control,5.44
TCB,Castilleja,Control,4.19
TCB,Castilleja,Control,3.77
TCB,Castilleja,Control,3.85
TCB,Castilleja,Control,4.21
TCB,Castilleja,Control,4.85
TCB,Castilleja,Control,4.97
TCB,Castilleja,Control,3.22
TCB,Castilleja,Control,4.69
TCB,Castilleja,Control,3.36
TCB,Castilleja,Control,4.58
TCB,Castilleja,Control,4.29
TCB,Castilleja,Control,4.6
TCB,Castilleja,Control,4.98
TCB,Castilleja,Control,3.99
TCB,Castilleja,Control,4.93
TCB,Castilleja,Control,3.72
TCB,Castilleja,Control,1.25
TCB,Castilleja,Control,4.48
TCB,Castilleja,Control,4.28
TCB,Castilleja,Control,4.82
TCB,Castilleja,Control,2.12
TCB,Castilleja,Control,4.62
TCB,Castilleja,Control,6.31
TCB,Castilleja,Control,2.8
TCB,Castilleja,Control,6.87
TCB,Castilleja,Control,2.46
TCB,Castilleja,Herbicide,5.78
TCB,Castilleja,Herbicide,4.94
TCB,Castilleja,Herbicide,2.2
TCB,Castilleja,Herbicide,2.86
TCB,Castilleja,Herbicide,2.07
TCB,Castilleja,Herbicide,1.5
TCB,Castilleja,Herbicide,4.69
TCB,Castilleja,Herbicide,3.57
TCB,Castilleja,Herbicide,1.76
TCB,Castilleja,Herbicide,3.57
TCB,Castilleja,Herbicide,7.01
TCB,Castilleja,Herbicide,4.83
TCB,Castilleja,Herbicide,4.81
TCB,Castilleja,Herbicide,4.79
TCB,Castilleja,Herbicide,3.58
TCB,Castilleja,Herbicide,3.2
TCB,Castilleja,Herbicide,3.1
TCB,Castilleja,Herbicide,3.44
TCB,Castilleja,Herbicide,3.68
TCB,Castilleja,Herbicide,3.92
TCB,Castilleja,Herbicide,3.46
TCB,Castilleja,Herbicide,2.89
TCB,Castilleja,Herbicide,2.92
TCB,Castilleja,Herbicide,4.68
TCB,Castilleja,Herbicide,2.55
TCB,Castilleja,Herbicide,5.39
TCB,Castilleja,Herbicide,2.56
TCB,Castilleja,Herbicide,2.36
TCB,Castilleja,Herbicide,3.14
TCB,Castilleja,Herbicide,2.53
TCB,Castilleja,Herbicide,0.61
TCB,Castilleja,Herbicide,4.89
TCB,Castilleja,Herbicide,5.28
TCB,Castilleja,Herbicide,5.5
TCB,Castilleja,Herbicide,2.28
TCB,Castilleja,Herbicide,4.28
TCB,Castilleja,Herbicide,5.14
TCB,Castilleja,Herbicide,3.78
TCB,Castilleja,Herbicide,3.66
TCB,Castilleja,Herbicide,3.92
TCB,Castilleja,Herbicide,2.46
TCB,Castilleja,Herbicide,4.51
TCB,Castilleja,Herbicide,3.82
TCB,Castilleja,Herbicide,4.31
TCB,Castilleja,Herbicide,3.94
TCB,Castilleja,Herbicide,4.15
TCB,Castilleja,Herbicide,5.56
TCB,Castilleja,Herbicide,3.76
TCB,Castilleja,Herbicide,4.57
TCB,Castilleja,Herbicide,4.56
TCB,Castilleja,Herbicide,3
TCB,Plantago,Control,6.71
TCB,Plantago,Control,6.61
TCB,Plantago,Control,9.18
TCB,Plantago,Control,5.76
TCB,Plantago,Control,6.53
TCB,Plantago,Control,4.82
TCB,Plantago,Control,6.75
TCB,Plantago,Control,5.34
TCB,Plantago,Control,5.81
TCB,Plantago,Control,9.92
TCB,Plantago,Control,5.47
TCB,Plantago,Control,5.8
TCB,Plantago,Control,7.05
TCB,Plantago,Control,5.13
TCB,Plantago,Control,8.49
TCB,Plantago,Control,7.52
TCB,Plantago,Control,8.85
TCB,Plantago,Control,5.27
TCB,Plantago,Control,6.53
TCB,Plantago,Control,5.44
TCB,Plantago,Control,6.96
TCB,Plantago,Control,7.72
TCB,Plantago,Control,8.61
TCB,Plantago,Control,5.84
TCB,Plantago,Control,5.61
TCB,Plantago,Control,6.31
TCB,Plantago,Control,6.66
TCB,Plantago,Control,5.89
TCB,Plantago,Control,6.09
TCB,Plantago,Control,6.74
TCB,Plantago,Control,4.76
TCB,Plantago,Control,5.98
TCB,Plantago,Control,5.84
TCB,Plantago,Control,5.29
TCB,Plantago,Control,5.57
TCB,Plantago,Control,5.69
TCB,Plantago,Control,5.68
TCB,Plantago,Control,4.25
TCB,Plantago,Control,5.53
TCB,Plantago,Control,7.46
TCB,Plantago,Control,7.09
TCB,Plantago,Control,8.38
TCB,Plantago,Control,6.42
TCB,Plantago,Control,7.87
TCB,Plantago,Control,8.53
TCB,Plantago,Control,8.79
TCB,Plantago,Control,7.53
TCB,Plantago,Control,7.79
TCB,Plantago,Control,9.98
TCB,Plantago,Control,8.89
TCB,Plantago,Control,8.08
TCB,Plantago,Control,7.44
TCB,Plantago,Control,9.83
TCB,Plantago,Control,7.91
TCB,Plantago,Control,7.6
TCB,Plantago,Control,6.3
TCB,Plantago,Control,6.56
TCB,Plantago,Control,8.94
TCB,Plantago,Control,9.21
TCB,Plantago,Control,8.15
TCB,Plantago,Control,6.6
TCB,Plantago,Control,7.44
TCB,Plantago,Control,5.89
TCB,Plantago,Control,6.56
TCB,Plantago,Control,5.26
TCB,Plantago,Control,6.14
TCB,Plantago,Control,4.79
TCB,Plantago,Control,6.51
TCB,Plantago,Control,4.84
TCB,Plantago,Control,8
TCB,Plantago,Control,6.62
TCB,Plantago,Control,2.7
TCB,Plantago,Control,7.34
TCB,Plantago,Control,8.08
TCB,Plantago,Control,6.96
TCB,Plantago,Control,7.14
TCB,Plantago,Control,8.82
TCB,Plantago,Control,6.93
TCB,Plantago,Control,5.53
TCB,Plantago,Control,5.44
TCB,Plantago,Control,6.86
TCB,Plantago,Control,5.2
TCB,Plantago,Control,6.82
TCB,Plantago,Control,5.55
TCB,Plantago,Control,7.31
TCB,Plantago,Control,7.55
TCB,Plantago,Control,7.7
TCB,Plantago,Control,7.83
TCB,Plantago,Control,6.76
TCB,Plantago,Control,4.45
TCB,Plantago,Control,4.68
TCB,Plantago,Herbicide,4.97
TCB,Plantago,Herbicide,6.95
TCB,Plantago,Herbicide,6.9
TCB,Plantago,Herbicide,6.11
TCB,Plantago,Herbicide,5.28
TCB,Plantago,Herbicide,6.22
TCB,Plantago,Herbicide,4.94
TCB,Plantago,Herbicide,5.64
TCB,Plantago,Herbicide,8.63
TCB,Plantago,Herbicide,6.25
TCB,Plantago,Herbicide,3.9
TCB,Plantago,Herbicide,4.6
TCB,Plantago,Herbicide,8.18
TCB,Plantago,Herbicide,5.39
TCB,Plantago,Herbicide,10.16
TCB,Plantago,Herbicide,3.32
TCB,Plantago,Herbicide,5.44
TCB,Plantago,Herbicide,1.98
TCB,Plantago,Herbicide,8.86
TCB,Plantago,Herbicide,6.59
TCB,Plantago,Herbicide,7.18
TCB,Plantago,Herbicide,6.7
TCB,Plantago,Herbicide,5.75
TCB,Plantago,Herbicide,8.31
TCB,Plantago,Herbicide,6.73
TCB,Plantago,Herbicide,6.55
TCB,Plantago,Herbicide,6.09
TCB,Plantago,Herbicide,4.8
TCB,Plantago,Herbicide,8.46
TCB,Plantago,Herbicide,5.17
TCB,Plantago,Herbicide,4.64
TCB,Plantago,Herbicide,5.54
TCB,Plantago,Herbicide,5.02
TCB,Plantago,Herbicide,6.94
