WVW,DOY,Year,Era
0,147,1990,20th
0,153,1990,20th
0,105,1991,20th
0,108,1991,20th
0,110,1991,20th
0,111,1991,20th
0,114,1991,20th
0,116,1991,20th
0,117,1991,20th
0,118,1991,20th
0,119,1991,20th
0,122,1991,20th
0,122,1991,20th
0,125,1991,20th
0,125,1991,20th
0,125,1991,20th
0,126,1991,20th
0,129,1991,20th
0,129,1991,20th
0,130,1991,20th
0,132,1991,20th
0,133,1991,20th
0,133,1991,20th
0,136,1991,20th
0,137,1991,20th
0,138,1991,20th
0,140,1991,20th
0,141,1991,20th
0,141,1991,20th
0,142,1991,20th
0,144,1991,20th
0,144,1991,20th
0,147,1991,20th
0,147,1991,20th
0,147,1991,20th
0,148,1991,20th
0,148,1991,20th
0,149,1991,20th
0,153,1991,20th
0,153,1991,20th
0,153,1991,20th
0,154,1991,20th
0,154,1991,20th
0,154,1991,20th
0,154,1991,20th
0,155,1991,20th
0,155,1991,20th
0,101,1992,20th
0,105,1992,20th
0,112,1992,20th
0,112,1992,20th
0,113,1992,20th
0,114,1992,20th
0,114,1992,20th
0,114,1992,20th
0,118,1992,20th
0,118,1992,20th
0,119,1992,20th
0,119,1992,20th
0,120,1992,20th
0,120,1992,20th
0,120,1992,20th
0,121,1992,20th
0,122,1992,20th
0,122,1992,20th
0,123,1992,20th
0,124,1992,20th
0,130,1992,20th
0,130,1992,20th
0,130,1992,20th
0,131,1992,20th
0,132,1992,20th
0,132,1992,20th
0,132,1992,20th
0,133,1992,20th
0,134,1992,20th
0,134,1992,20th
0,135,1992,20th
0,135,1992,20th
0,135,1992,20th
0,135,1992,20th
0,135,1992,20th
0,135,1992,20th
0,135,1992,20th
0,136,1992,20th
0,136,1992,20th
0,136,1992,20th
0,138,1992,20th
0,138,1992,20th
0,138,1992,20th
0,139,1992,20th
0,140,1992,20th
0,140,1992,20th
0,140,1992,20th
0,141,1992,20th
0,141,1992,20th
0,141,1992,20th
0,141,1992,20th
0,141,1992,20th
0,142,1992,20th
0,142,1992,20th
0,142,1992,20th
0,143,1992,20th
0,143,1992,20th
0,143,1992,20th
0,143,1992,20th
0,143,1992,20th
0,144,1992,20th
0,144,1992,20th
0,144,1992,20th
0,144,1992,20th
0,144,1992,20th
0,147,1992,20th
0,148,1992,20th
0,148,1992,20th
0,149,1992,20th
0,149,1992,20th
0,150,1992,20th
0,150,1992,20th
0,150,1992,20th
0,151,1992,20th
0,151,1992,20th
0,151,1992,20th
0,151,1992,20th
0,154,1992,20th
0,154,1992,20th
0,154,1992,20th
0,155,1992,20th
0,155,1992,20th
0,155,1992,20th
0,156,1992,20th
0,156,1992,20th
0,156,1992,20th
0,159,1992,20th
0,159,1992,20th
0,159,1992,20th
0,107,1993,20th
0,108,1993,20th
0,109,1993,20th
0,109,1993,20th
0,110,1993,20th
0,110,1993,20th
0,110,1993,20th
0,110,1993,20th
0,111,1993,20th
0,111,1993,20th
0,112,1993,20th
0,115,1993,20th
0,115,1993,20th
0,115,1993,20th
0,115,1993,20th
0,116,1993,20th
0,116,1993,20th
0,116,1993,20th
