Code,Latitude,Longitude,hours,count
CTBA,41.9123,-72.9884,72.5,127
CTEW,41.7966,-71.9274,48.5,72
CTGS,41.0826,-73.6138,182.5,60
CTHA,41.766,-72.6727,198,31
CTLH,41.7703,-73.2724,69.95,122
CTLS,41.9449,-73.4399,49.5,65
CTNH,41.3007,-72.9323,130,34
CTNL,41.3236,-72.1007,137,75
CTOL,41.2924,-72.427,97.75,69
CTOX,41.4,-73.1411,76.5,74
CTQV,41.4747,-72.7273,134.86,161
CTSM,41.1742,-73.1099,93,2
CTSR,41.5533,-72.4485,43,116
CTST,41.8116,-72.2497,91.25,66
CTWE,41.164,-73.358,60.5,49
CTWR,41.5352,-73.2791,81.5,148
MAAN,42.635,-71.1419,106.3,16
MAAT,42.5944,-72.2203,100,29
MABB,41.6517,-70.6206,66,16
MACA,42.6112,-70.73,127,21
MACB,42.4086,-73.2537,55,59
MACC,41.7207,-69.9968,81,55
MACO,42.4333,-71.4333,366.57,442
MAGB,42.3973,-71.0955,318.5,2
MAGO,42.5869,-71.6497,101.5,133
MAGR,42.5879,-72.6002,72,129
MAMA,42.0973,-70.6537,68,27
MAMC,41.7004,-70.3002,88,58
MAMI,42.1675,-71.3572,68.75,108
MANA,41.2901,-70.0901,111,11
MANB,42.6442,-73.1937,45.5,49
MANE,42.7398,-70.8987,146,95
MANF,41.6,-70.8667,48,20
MANO,42.3439,-72.6028,302.91,337
MAPL,41.8733,-70.6012,65.95,12
MAQB,42.3712,-72.2783,92,65
MAQU,42.2167,-70.9333,70.5,0
MASO,42.1517,-73.3276,65,86
MASP,42.1294,-72.5089,104,23
MAST,42.1372,-72.0976,119.05,90
MATI,41.2726,-70.3495,20,0
MAWE,42.5167,-71.9333,71.5,47
MAWO,42.3238,-71.7937,97,105
MEAU,44.3072,-69.7817,55.5,5
MEBB,44.7005,-68.7861,83,0
MEBF,44.5073,-68.9418,61.75,0
MEBH,44.4342,-68.5908,57.16,0
MEBK,43.4434,-70.4788,56.5,53
MEBL,44.1605,-69.5073,39.5,50
MEBP,43.7803,-69.7443,49.8,8
MEDI,44.2292,-68.6767,82.99,0
MEEA,44.9059,-66.9852,16.5,0
MEFA,44.7031,-70.1631,29.5,0
MEFB,43.8229,-70.0268,83.7,46
MEHL,44.884,-69.3977,44.25,0
MELA,44.1051,-70.2035,41,6
MEMD,44.336,-68.3116,46.11,0
MEMJ,44.5377,-67.6491,40.32,0
MEOO,44.9052,-68.6839,78,0
MEPA,43.5858,-70.2242,112.2,35
MEPD,43.9332,-69.4666,45,10
MEPI,46.6812,-68.0155,44.25,0
MESP,44.4278,-68.1076,39.22,0
MESW,44.0725,-70.819,52.01,0
METR,44.0815,-69.1684,61.5,6
MEUN,44.6083,-69.3371,44.5,0
MEWA,44.5641,-69.6631,66,4
NHBV,43.8438,-71.8897,28,4
NHCF,44.2201,-71.4117,45.05,0
NHCN,43.2192,-71.5375,73,39
NHCS,42.9833,-70.8333,66,156
NHEU,44.7811,-71.1379,45.52,0
NHGB,43.6112,-71.8495,25,0
NHHN,43.7167,-72.2333,89.5,0
NHKE,42.9303,-72.3123,82.5,38
NHLD,43.1667,-70.9833,117.75,126
NHLN,43.5548,-71.5194,74.5,17
NHLS,43.3803,-72.0498,45.5,0
NHLT,44.2667,-71.75,27,0
NHMA,42.9707,-71.3073,58.25,51
NHNH,42.8049,-71.5462,128.25,140
NHPI,45.0889,-71.2888,31.95,0
NHSA,43.8074,-71.4397,74,15
RINC,41.5369,-71.1566,117.49,18
RIBI,41.2324,-71.5777,37,0
VTBA,44.3259,-72.001,57.49,0
VTBE,42.8892,-73.2155,58.5,68
VTBR,42.8561,-72.6606,49,58
VTBU,44.4769,-73.2213,120.93,13
VTCS,44.817,-73.2492,73.58,0
VTFE,44.1833,-73.3023,139.25,89
VTFR,44.9166,-72.7433,49,0
VTLA,44.579,-72.6587,54.5,0
VTMA,44.0833,-73.0167,18.5,5
VTMB,43.9634,-73.2723,112.75,114
VTMR,44.15,-72.7333,68.14,0
VTPL,44.2789,-72.438,83.75,0
VTRU,43.6041,-73.0145,65.25,25
VTSP,43.3328,-72.5257,71.1,29
VTSR,43.1008,-72.5414,47,17
VTWI,43.1858,-72.8719,31,0
VTWO,43.6165,-72.6592,58,0
