Tree_sp,charcoal,DWmass,TreatCombo
Aspen,xcharB,0.025,Aspen.xcharB
Aspen,xcharB,0.22,Aspen.xcharB
Aspen,xcharB,1.376,Aspen.xcharB
Aspen,xcharB,0.111,Aspen.xcharB
Aspen,xcharB,0.451,Aspen.xcharB
Aspen,control,0.013,Aspen.control
Aspen,control,0.007,Aspen.control
Aspen,control,0.016,Aspen.control
Aspen,control,0.022,Aspen.control
Aspen,control,0.02,Aspen.control
Birch,xcharB,0.427,Birch.xcharB
Birch,xcharB,0.108,Birch.xcharB
Birch,xcharB,0.231,Birch.xcharB
Birch,xcharB,0.019,Birch.xcharB
Birch,xcharB,0.49,Birch.xcharB
Birch,control,0.006,Birch.control
Birch,control,0.011,Birch.control
Birch,control,0.018,Birch.control
Birch,control,0.014,Birch.control
Birch,control,0.013,Birch.control
