PlantID,Cell,habtype,Year,Lvs,Age,Flwrs,dead,flwr,AgeNext,LvsNxt
11.17.553,11,Poa,1999,9,Flwr,4,0,0,Mat,0
11.4.537,11,Poa,1999,14,Mat,0,0,0,Mat,12
11.4.538,11,Poa,1999,4,Mat,0,0,0,Mat,3
11.4.539,11,Poa,1999,3,Mat,0,0,0,Mat,1
11.4.541,11,Poa,1999,4,Juv,0,0,0,Juv,1
11.4.542,11,Poa,1999,2,Flwr,1,0,0,Mat,3
11.5.100,11,Poa,1999,3,Juv,0,0,0,Juv,2
11.5.536,11,Poa,1999,10,Juv,0,0,0,Juv,8
11.5.89,11,Poa,1999,4,Mat,0,0,1,Flwr,10
11.6.545,11,Poa,1999,4,Mat,0,0,0,Mat,2
11.6.547,11,Poa,1999,3,Mat,0,0,0,Mat,3
11.6.91,11,Poa,1999,3,Flwr,1,0,0,Mat,5
11.6.94,11,Poa,1999,4,Mat,0,0,0,Mat,1
11.7.548,11,Poa,1999,10,Juv,0,0,0,Juv,6
11.7.552,11,Poa,1999,9,Mat,0,0,0,Mat,0
11.7.99,11,Poa,1999,3,Juv,0,0,0,Juv,3
18.1.G009,18,Native,1999,5,Juv,0,0,0,Juv,5
18.16.365,18,Native,1999,11,Flwr,1,0,1,Flwr,7
18.16.366,18,Native,1999,3,Flwr,1,0,1,Flwr,8
18.16.368,18,Native,1999,10,Flwr,1,0,1,Flwr,5
18.17.369,18,Native,1999,11,Flwr,2,0,1,Flwr,7
18.18.370,18,Native,1999,2,Flwr,1,0,0,Mat,3
18.18.371,18,Native,1999,7,Flwr,2,0,1,Flwr,7
18.18.373,18,Native,1999,8,Flwr,2,0,1,Flwr,7
18.2.G007,18,Native,1999,10,Mat,0,0,1,Flwr,9
18.25.367,18,Native,1999,3,Mat,0,0,0,Mat,5
18.3.G008,18,Native,1999,5,Juv,0,0,0,Juv,3
18.7.G1,18,Native,1999,12,Mat,0,0,0,Mat,20
18.8.G2,18,Native,1999,3,Flwr,1,0,1,Flwr,9
18.8.G3,18,Native,1999,7,Flwr,1,0,0,Mat,0
18.9.G004,18,Native,1999,8,Mat,0,0,0,Mat,7
18.9.G005,18,Native,1999,11,Mat,0,0,1,Flwr,10
18.9.G006,18,Native,1999,10,Flwr,3,0,1,Flwr,12
18.9.G012,18,Native,1999,8,Flwr,3,0,1,Flwr,15
18.9.G13,18,Native,1999,8,Flwr,1,0,1,Flwr,7
28.1.1045,28,Native,1999,9,Flwr,1,0,0,Mat,6
28.1.1047,28,Native,1999,7,Mat,0,0,1,Flwr,5
