trackID,date,indID,sex,starttime,interval,gps.num,index,waypt,flag,lat,lon,behavior,nect.plant,habitat,Chel_Plan,release.area,recorder,tracker,temp,cloudcover,Notes,X,track_num,track_flag,time
22-Jun_R-SB,22-Jun,R-SB,Female,12:20pm,15,1,1,524,1,42.484978,-71.568929,p,cup,up,P,dorm 33,Elizabeth,Emma,79,sunny,virgin,,1,1_1,5400
23-Jun_L-LLR,23-Jun,L-LLR,Female,12:56pm,15,3,1,396,1,42.485538,-71.568492,p,cup,wet,T,dorm 9,Emma,Lee,90,sunny,virgin,,2,2_1,15
23-Jun_L-LLR,23-Jun,L-LLR,Female,12:56pm,15,3,2,397,2,42.485521,-71.568484,p,stick,wet,no,dorm 9,Emma,Lee,90,sunny,virgin,,2,2_2,15
23-Jun_L-LLR,23-Jun,L-LLR,Female,12:56pm,15,3,6,398,3,42.485507,-71.568479,p,aster,wet,no,dorm 9,Emma,Lee,90,sunny,virgin,,2,2_3,705
23-Jun_L-LLR,23-Jun,L-LLR,Female,12:56pm,15,3,52,399,4,42.485484,-71.568453,p,grass,up,no,dorm 9,Emma,Lee,90,sunny,virgin,,2,2_4,60
23-Jun_L-LLR,23-Jun,L-LLR,Female,12:56pm,15,3,99,400,5,42.485481,-71.568453,f,n/a,up,no,dorm 9,Emma,Lee,90,sunny,virgin,,2,2_5,690
23-Jun_L-LLR,23-Jun,L-LLR,Female,12:56pm,15,3,100,401,6,42.485498,-71.568493,p,aster,wet,no,dorm 9,Emma,Lee,90,sunny,virgin,,2,2_6,705
23-Jun_L-LLR,23-Jun,L-LLR,Female,12:56pm,15,3,157,402,7,42.4855,-71.568494,p,Swida,wet,no,dorm 9,Emma,Lee,90,sunny,virgin,,2,2_7,15
23-Jun_L-LLR,23-Jun,L-LLR,Female,12:56pm,15,3,198,403,8,42.485504,-71.568489,p,aster,wet,no,dorm 9,Emma,Lee,90,sunny,virgin,,2,2_8,855
23-Jun_L-LLR,23-Jun,L-LLR,Female,12:56pm,15,3,277,404,9,42.485497,-71.568485,p,aster,wet,no,dorm 9,Emma,Lee,90,sunny,virgin,,2,2_9,615
23-Jun_L-LLR,23-Jun,L-LLR,Female,12:56pm,15,3,313,405,10,42.485488,-71.568495,p,grass,wet,no,dorm 9,Emma,Lee,90,sunny,virgin,,2,2_10,1185
23-Jun_L-LLR,23-Jun,L-LLR,Female,12:56pm,15,3,314,406,11,42.485487,-71.568497,p,Swida,wet,no,dorm 9,Emma,Lee,90,sunny,virgin,,2,2_11,540
24-Jun_L-BS,24-Jun,L-BS,Female,11:25am,15,1,1,562,1,42.485299,-71.568756,p,cup,up,P,dorm 15,Natasha,Elizabeth,88,sunny,virgin,,3,3_1,4995
24-Jun_L-BS,24-Jun,L-BS,Female,11:25am,15,1,334,563,2,42.485303,-71.568753,p,grass,up,P,dorm 15,Natasha,Elizabeth,88,sunny,virgin,,3,3_2,405
24-Jun_R-RSclear,24-Jun,R-RSclear,Female,11:29am,15,1,1,558,1,42.484784,-71.568824,p,cup,up,P,dorm 30,Emma,Lee,88,sunny,virgin,,4,4_1,105
24-Jun_R-RSclear,24-Jun,R-RSclear,Female,11:29am,15,1,8,559,2,42.484786,-71.568832,p,aster,up,P,dorm 30,Emma,Lee,88,sunny,virgin,,4,4_2,4260
24-Jun_R-RSclear,24-Jun,R-RSclear,Female,11:29am,15,1,292,560,3,42.484785,-71.568832,f,n/a,up,P,dorm 30,Emma,Lee,88,sunny,virgin,,4,4_3,15
24-Jun_R-RSclear,24-Jun,R-RSclear,Female,11:29am,15,1,293,561,4,42.484783,-71.568832,p,aster,up,P,dorm 30,Emma,Lee,88,sunny,virgin,,4,4_4,1020
24-Jun_R-SGS,24-Jun,R-SGS,Female,2:35pm,15,1,1,567,1,42.484788,-71.56884,p,cup,up,P,dorm 30,Elizabeth/Lee,Natasha/Emma,88,sunny,virgin,,5,5_1,495
24-Jun_R-SGS,24-Jun,R-SGS,Female,2:35pm,15,1,34,568,2,42.484819,-71.569003,f,n/a,up,P,dorm 30,Elizabeth/Lee,Natasha/Emma,88,sunny,virgin,,5,5_2,15
24-Jun_R-SGS,24-Jun,R-SGS,Female,2:35pm,15,1,35,570,3,42.484849,-71.569084,p,aster,up,P,dorm 30,Elizabeth/Lee,Natasha/Emma,88,sunny,virgin,,5,5_3,1065
24-Jun_R-SGS,24-Jun,R-SGS,Female,2:35pm,15,1,106,569,4,42.484853,-71.569101,p,aster,up,P,dorm 30,Elizabeth/Lee,Natasha/Emma,88,sunny,virgin,,5,5_4,30
24-Jun_R-SGS,24-Jun,R-SGS,Female,2:35pm,15,1,108,571,5,42.484893,-71.569203,f,n/a,up,no,dorm 30,Elizabeth/Lee,Natasha/Emma,88,sunny,virgin,,5,5_5,15
24-Jun_R-SGS,24-Jun,R-SGS,Female,2:35pm,15,1,109,572,6,42.484905,-71.569251,p,gallium,up,no,dorm 30,Elizabeth/Lee,Natasha/Emma,88,sunny,virgin,,5,5_6,3780
25-Jun_R-LLG,25-Jun,R-LLG,Female,11:28am,15,3,1,449,1,42.485562,-71.568547,p,cup,wet,T,dorm 4,Emma,Lee,80,sunny,virgin,,6,6_1,210
25-Jun_R-LLG,25-Jun,R-LLG,Female,11:28am,15,3,15,450,2,42.485559,-71.568542,p,grass,wet,T,dorm 4,Emma,Lee,80,sunny,virgin,,6,6_2,1125
25-Jun_R-LLG,25-Jun,R-LLG,Female,11:28am,15,3,90,451,3,42.485559,-71.568541,p,small shrub,wet,T,dorm 4,Emma,Lee,80,sunny,"shrub with serrated, round leaves",,6,6_3,990
25-Jun_R-LLG,25-Jun,R-LLG,Female,11:28am,15,3,156,462,4,42.485566,-71.568541,p,aster,wet,T,dorm 4,Emma,Lee,80,sunny,virgin,,6,6_4,2805
25-Jun_R-LLG,25-Jun,R-LLG,Female,11:28am,15,3,343,454,5,42.485538,-71.568548,p,Swida,wet,no,dorm 4,Emma,Lee,80,sunny,virgin,,6,6_5,30
25-Jun_R-LLG,25-Jun,R-LLG,Female,11:28am,15,3,345,455,6,42.485539,-71.56855,p,aster,wet,no,dorm 4,Emma,Lee,80,sunny,virgin,,6,6_6,15
25-Jun_R-LLG,25-Jun,R-LLG,Female,11:28am,15,3,346,456,7,42.485533,-71.568549,p,aster,wet,no,dorm 4,Emma,Lee,80,sunny,virgin,,6,6_7,225
25-Jun_L-SBS,25-Jun,L-SBS,Female,1:41pm,15,3,1,464,1,42.48481,-71.569073,p,cup,upland,P,dorm 37,Lee,Emma/Elizabeth/Lee,90,sunny,virgin,,7,7_1,855
25-Jun_L-SBS,25-Jun,L-SBS,Female,1:41pm,15,3,58,465,2,42.484807,-71.569076,p,Plantago,upland,P,dorm 37,Lee,Emma/Elizabeth/Lee,90,sunny,virgin,,7,7_2,4545
26-Jun_R-BRS,26-Jun,R-BRS,Female ,10:15am,15,3,1,467,1,42.484792,-71.569057,w,cup,up,P,dorm 41,Natasha/Lee,Lee/Natasha,83,partly cloudy,virgin,,8,8_1,975
26-Jun_R-BRS,26-Jun,R-BRS,Female,10:15am,15,3,66,468,2,42.484797,-71.569061,w,plantago,up,P,dorm 41,Natasha/Lee,Lee/Natasha,83,partly cloudy,virgin,,8,8_2,3990
26-Jun_R-BRS,26-Jun,R-BRS,Female ,10:15am,15,3,332,471,3,42.4848,-71.569066,p,plantago,up,P,dorm 41,Natasha/Lee,Lee/Natasha,83,partly cloudy,virgin,,8,8_3,435
26-Jun_L-BBS,26-Jun,L-BBS,Female,12:50pm,15,3,1,473,1,42.48568,-71.568723,p/e,cup,up,P,dorm 47,Lee,Natasha,79,partly cloudy,virgin,,9,9_1,5400
26-Jun_L-LBB,26-Jun,L-LBB,Female,1:52pm,15,1,1,582,1,42.485642,-71.568607,p,cup,wet,T,dorm 10,Nat,Emma,74,cloudy,virgin,,10,10_1,15
26-Jun_L-LBB,26-Jun,L-LBB,Female,1:52pm,15,1,2,583,2,42.485634,-71.568608,p,grass,wet,T,dorm 10,Nat,Emma,74,cloudy,virgin,,10,10_2,15
26-Jun_L-LBB,26-Jun,L-LBB,Female,1:52pm,15,1,3,584,3,42.485634,-71.568601,p,herb (4 leaves opp),wet,T,dorm 10,Nat,Emma,74,cloudy,virgin,,10,10_3,4785
26-Jun_L-LBB,26-Jun,L-LBB,Female,1:52pm,15,1,322,585,4,42.485651,-71.568624,p,grass,wet,T,dorm 10,Nat,Emma,74,cloudy,virgin,,10,10_4,585
26-Jun_L-LGL,26-Jun,L-LGL,Female,2:50pm,15,3,1,476,1,42.485563,-71.568549,b,lid,wet,T,dorm 4,Nat/Emma,Natasha/Emma,74,cloudy,virgin,,11,11_1,3630
26-Jun_L-LGL,26-Jun,L-LGL,Female,2:50pm,15,3,243,477,2,42.48556,-71.568553,f,n/a,wet,T,dorm 4,Nat/Emma,Natasha/Emma,74,cloudy,virgin,,11,11_2,15
26-Jun_L-LGL,26-Jun,L-LGL,Female,2:50pm,15,3,244,478,3,42.485558,-71.568552,b,dorm,wet,T,dorm 4,Nat/Emma,Natasha/Emma,74,cloudy,virgin,,11,11_3,2475
29-Jun_R-SGB,29-Jun,R-SGB,Female,12:34pm,15,1,1,670,1,42.484801,-71.569077,p,cup, upland,P,dorm 41,Lee,Natasha/Elizabeth,80,partly sunny,virgin,,12,12_1,150
29-Jun_R-SGB,29-Jun,R-SGB,Female,12:34pm,15,1,11,669,2,42.484836,-71.569065,p/e,cup,upland,P,dorm 41,Lee,Natasha/Elizabeth,80,partly sunny,virgin,,12,12_2,15
