Treatment,Sex,Diapause,Dead,Eclosed
11.5,female,1,0,0
11.5,male,1,0,0
11.5,male,0,1,0
12.5,female,1,0,0
12.5,female,1,0,0
12.5,female,1,0,0
12.5,male,0,1,0
12.5,male,0,1,0
13,female,1,0,0
13,female,1,0,0
13,male,1,0,0
13,male,1,0,0
13.5,female,1,0,0
13.5,male,1,0,0
13.5,female,0,0,1
13.5,female,0,0,1
13.5,male,0,1,0
14,female,1,0,0
14,female,1,0,0
14,female,1,0,0
14,female,0,0,1
11.5,male,1,0,0
11.5,male,1,0,0
11.5,male,1,0,0
11.5,male,1,0,0
12.5,female,1,0,0
12.5,female,1,0,0
12.5,female,1,0,0
12.5,female,1,0,0
12.5,female,0,1,0
13,female,1,0,0
13,male,1,0,0
13,female,1,0,0
13,male,1,0,0
13,male,1,0,0
13,female,1,0,0
13.5,male,1,0,0
13.5,female,1,0,0
13.5,male,1,0,0
13.5,female,1,0,0
13.5,female,0,0,1
14,male,1,0,0
14,female,1,0,0
14,male,1,0,0
14,female,0,0,1
14,female,0,0,1
14,female,0,0,1
14,male,0,0,1
11.5,female,1,0,0
11.5,female,1,0,0
11.5,female,1,0,0
11.5,female,1,0,0
11.5,female,1,0,0
12.5,male,1,0,0
12.5,female,1,0,0
12.5,female,1,0,0
12.5,male,1,0,0
12.5,male,1,0,0
12.5,female,0,1,0
13,female,1,0,0
13,female,1,0,0
13,male,1,0,0
13,female,1,0,0
13,female,0,1,0
13.5,male,1,0,0
13.5,male,1,0,0
13.5,female,1,0,0
13.5,female,1,0,0
13.5,female,0,0,1
13.5,female,0,1,0
14,male,1,0,0
14,male,1,0,0
14,male,1,0,0
14,female,0,0,1
14,male,0,0,1
11.5,male,1,0,0
11.5,male,1,0,0
11.5,male,1,0,0
11.5,female,1,0,0
11.5,male,1,0,0
11.5,male,0,1,0
12.5,male,1,0,0
12.5,male,1,0,0
12.5,female,1,0,0
12.5,female,1,0,0
12.5,male,1,0,0
13,female,1,0,0
13,female,1,0,0
13,female,1,0,0
13,male,1,0,0
13,female,0,0,1
13,female,0,0,1
13.5,male,1,0,0
13.5,female,1,0,0
13.5,male,1,0,0
13.5,male,1,0,0
13.5,male,1,0,0
13.5,male,1,0,0
14,male,1,0,0
14,male,1,0,0
14,male,1,0,0
14,male,1,0,0
14,female,0,0,1
14,male,0,0,1
11.5,male,1,0,0
11.5,male,1,0,0
11.5,male,1,0,0
11.5,female,1,0,0
11.5,female,1,0,0
12.5,male,1,0,0
12.5,male,1,0,0
12.5,male,1,0,0
12.5,male,1,0,0
12.5,female,0,1,0
13,male,1,0,0
13,female,1,0,0
13,female,1,0,0
13,female,0,1,0
13,male,0,1,0
13.5,male,1,0,0
13.5,female,1,0,0
13.5,female,1,0,0
13.5,female,0,1,0
14,female,0,0,1
14,female,0,0,1
14,female,0,0,1
14,female,0,0,1
11.5,male,1,0,0
11.5,female,1,0,0
11.5,female,1,0,0
11.5,female,1,0,0
11.5,male,1,0,0
12.5,male,1,0,0
12.5,female,1,0,0
12.5,male,1,0,0
12.5,female,1,0,0
12.5,female,0,1,0
13,female,1,0,0
13,male,1,0,0
13,female,1,0,0
13,female,1,0,0
13,female,1,0,0
13,female,1,0,0
13,male,0,1,0
13.5,male,1,0,0
13.5,female,1,0,0
13.5,male,1,0,0
13.5,male,1,0,0
13.5,male,1,0,0
13.5,male,0,1,0
13.5,male,0,1,0
14,female,1,0,0
14,male,1,0,0
14,female,1,0,0
14,female,0,0,1
14,female,0,0,1
14,female,0,0,1
14,female,0,0,1
