Species,Site,year,Nt,y90,y21
Draba macounii,Glacier.Reynolds,1989,140,-1,0
Draba macounii,Glacier.Reynolds,1990,95,0,0
Draba macounii,Glacier.Reynolds,1991,74,1,0
Draba macounii,Glacier.Reynolds,2000,53,10,0
Draba macounii,Glacier.Reynolds,2001,40,11,1
Draba macounii,Glacier.Reynolds,2002,19,12,2
Draba macounii,Glacier.Reynolds,2010,18,20,10
Draba macounii,Glacier.Reynolds,2011,4,21,11
Draba macounii,Glacier.Reynolds,2012,17,22,12
Euphrasia arctica,Glacier.Lunch,1989,206,-1,0
Euphrasia arctica,Glacier.Lunch,1990,199,0,0
Euphrasia arctica,Glacier.Lunch,1991,62,1,0
Euphrasia arctica,Glacier.Lunch,2000,64,10,0
Euphrasia arctica,Glacier.Lunch,2001,56,11,1
Euphrasia arctica,Glacier.Lunch,2002,41,12,2
Euphrasia arctica,Glacier.Lunch,2010,75,20,10
Euphrasia arctica,Glacier.Lunch,2011,90,21,11
Euphrasia arctica,Glacier.Lunch,2012,30,22,12
Gentiana glauca,Glacier.Aikayan,1988,885,-2,0
Gentiana glauca,Glacier.Aikayan,2000,523,10,0
Gentiana glauca,Glacier.Aikayan,2002,466,12,2
Gentiana glauca,Glacier.Aikayan,2010,231,20,10
Gentiana glauca,Glacier.Aikayan,2012,191,22,12
Gentianella propinqua,Glacier.Lunch,1988,9,-2,0
Gentianella propinqua,Glacier.Lunch,2000,4,10,0
Gentianella propinqua,Glacier.Lunch,2010,0,20,10
Gentianella propinqua,Glacier.Reynolds,1988,10,-2,0
Gentianella propinqua,Glacier.Reynolds,2000,0,10,0
Gentianella propinqua,Glacier.Reynolds,2010,0,20,10
Juncus albescens,Glacier.Lunch,1989,54,-1,0
Juncus albescens,Glacier.Lunch,1990,43,0,0
Juncus albescens,Glacier.Lunch,1991,49,1,0
Juncus albescens,Glacier.Lunch,2000,60,10,0
Juncus albescens,Glacier.Lunch,2001,64,11,1
Juncus albescens,Glacier.Lunch,2002,58,12,2
Juncus albescens,Glacier.Lunch,2010,52,20,10
Juncus albescens,Glacier.Lunch,2011,69,21,11
Juncus albescens,Glacier.Lunch,2012,77,22,12
Juncus albescens,Glacier.Reynolds,1989,15,-1,0
Juncus albescens,Glacier.Reynolds,1990,12,0,0
Juncus albescens,Glacier.Reynolds,1991,14,1,0
Juncus albescens,Glacier.Reynolds,2000,12,10,0
Juncus albescens,Glacier.Reynolds,2001,14,11,1
Juncus albescens,Glacier.Reynolds,2002,11,12,2
Juncus albescens,Glacier.Reynolds,2010,0,20,10
Juncus albescens,Glacier.Reynolds,2011,18,21,11
Juncus albescens,Glacier.Reynolds,2012,10,22,12
Kobresia simpliciuscula,Glacier.Lunch,1989,17,-1,0
Kobresia simpliciuscula,Glacier.Lunch,1990,16,0,0
Kobresia simpliciuscula,Glacier.Lunch,1991,23,1,0
Kobresia simpliciuscula,Glacier.Lunch,2000,14,10,0
Kobresia simpliciuscula,Glacier.Lunch,2001,10,11,1
Kobresia simpliciuscula,Glacier.Lunch,2002,14,12,2
Kobresia simpliciuscula,Glacier.Lunch,2010,21,20,10
Kobresia simpliciuscula,Glacier.Lunch,2011,21,21,11
Kobresia simpliciuscula,Glacier.Lunch,2012,23,22,12
Kobresia simpliciuscula,Glacier.Reynolds,1989,86,-1,0
Kobresia simpliciuscula,Glacier.Reynolds,1990,96,0,0
Kobresia simpliciuscula,Glacier.Reynolds,1991,113,1,0
Kobresia simpliciuscula,Glacier.Reynolds,2000,66,10,0
Kobresia simpliciuscula,Glacier.Reynolds,2001,86,11,1
Kobresia simpliciuscula,Glacier.Reynolds,2002,62,12,2
Kobresia simpliciuscula,Glacier.Reynolds,2010,88,20,10
Kobresia simpliciuscula,Glacier.Reynolds,2011,59,21,11
Kobresia simpliciuscula,Glacier.Reynolds,2012,70,22,12
Pinguicula vulgaris,Glacier.Lunch,1989,137,-1,0
Pinguicula vulgaris,Glacier.Lunch,1990,164,0,0
Pinguicula vulgaris,Glacier.Lunch,1991,173,1,0
Pinguicula vulgaris,Glacier.Lunch,2000,182,10,0
Pinguicula vulgaris,Glacier.Lunch,2001,150,11,1
Pinguicula vulgaris,Glacier.Lunch,2002,174,12,2
Pinguicula vulgaris,Glacier.Lunch,2010,129,20,10
Pinguicula vulgaris,Glacier.Lunch,2011,128,21,11
Pinguicula vulgaris,Glacier.Lunch,2012,145,22,12
Tofieldia pusilla,Glacier.Lunch,1989,37,-1,0
Tofieldia pusilla,Glacier.Lunch,1990,42,0,0
Tofieldia pusilla,Glacier.Lunch,1991,57,1,0
Tofieldia pusilla,Glacier.Lunch,2000,37,10,0
Tofieldia pusilla,Glacier.Lunch,2001,34,11,1
Tofieldia pusilla,Glacier.Lunch,2002,50,12,2
Tofieldia pusilla,Glacier.Lunch,2010,36,20,10
Tofieldia pusilla,Glacier.Lunch,2011,48,21,11
Tofieldia pusilla,Glacier.Lunch,2012,26,22,12
Tofieldia pusilla,Glacier.Reynolds,1989,46,-1,0
Tofieldia pusilla,Glacier.Reynolds,1990,51,0,0
Tofieldia pusilla,Glacier.Reynolds,1991,59,1,0
Tofieldia pusilla,Glacier.Reynolds,2000,66,10,0
Tofieldia pusilla,Glacier.Reynolds,2001,69,11,1
Tofieldia pusilla,Glacier.Reynolds,2002,66,12,2
Tofieldia pusilla,Glacier.Reynolds,2010,85,20,10
Tofieldia pusilla,Glacier.Reynolds,2011,75,21,11
Tofieldia pusilla,Glacier.Reynolds,2012,65,22,12
