code,name,latitude,longitude,count,hours
ORME,Medford,42.4026,-122.8559,56543,130
MACC,Cape Cod,41.7207,-69.9968,35877,110
ORAS,Ashland,42.1607,-122.617,33902,91
MDOC,Ocean City,38.3128,-75.2122,31621,227.5
MAMC,Mid-Cape Cod,41.7004,-70.3002,26719,93
MDAG,Annapolis-Gibson Island,39.0033,-76.5065,23958,245
FLSB,South Brevard County,27.8486,-80.55,20000,138.8
VALY,Lynchburg,37.3986,-79.1942,16434,66.5
NJMI,Mizpah,39.4832,-74.8343,14356,47.2
CABE,Benicia,38.1143,-122.1094,8527,211.7
OHCI,Cincinnati,39.1,-84.3,7980,145
MOKC,Kansas City,38.9488,-94.4049,7430,57.4
VACN,Calmes Neck,39.1242,-77.8913,7349,130.2
MDSM,Sugarloaf Mountain,39.2841,-77.392,6078,143.5
OKNO,Norman,35.2655,-97.3767,6073,80
OHCO,Columbus,39.9851,-82.9315,5930,135
MDBO,Bowie,38.9927,-76.7852,5570,294
VACL,Central Loudon,39.0905,-77.6198,5344,192.5
MDPR,Patuxent River,38.3406,-76.5037,5115,92.1
OHDA,Dayton,39.82,-84.1794,5061,46
OHOX,Oxford,39.5078,-84.7169,4939,50
FLFG,Flagler,29.497,-81.265,4700,71.3
MDTR,Triadelphia Reservoir,39.1605,-76.9885,4562,132.8
VAWA,Walkerton,37.6809,-77.0313,4364,81
OKST,Stillwater,36.1452,-97.1765,4233,73.3
OHWH,Western Hamilton County,39.2065,-84.6361,4228,84
MACO,Concord,42.4333,-71.4333,4177,364.4
NJSA,Salem,39.614,-75.4142,4102,73.5
NYCM,Chatham,42.3797,-73.6461,4062,88.5
CAUK,Ukiah,39.1386,-123.166,4052,86.8
FLEM,Emeralda-Sunnyhill,28.85,-81.8501,4000,93.5
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,4000,56.8
VATP,The Plains,38.8,-77.8667,3829,109.2
ORPD,Portland,45.5167,-122.7,3825,317
VAMB,Manassas-Bull Run,38.8387,-77.4315,3673,155.5
CAPV,Peace Valley,39.1982,-121.8219,3663,44
NJCM,Cape May,39.0123,-74.8778,3558,284.5
ARBE,Buffalo National River (east),36.0774,-92.5836,3531,19
MOCO,Columbia,38.8915,-92.3348,3481,82.2
GASV,"Savannah, GA-SC",32.0842,-81.0667,3378,120.3
FLEC,Econlockhatchee,28.7094,-81.1467,3300,114.2
INOR,Ohio River,39.1021,-84.9016,3167,54.5
VAFB,Fort Belvoir,38.709,-77.1939,3039,282.2
NJEL,Elmer,39.5834,-75.1428,2983,57.5
WASD,Sequim-Dungeness,48.1,-123.0667,2944,238.4
NJNG,Northwestern Gloucester County,39.7727,-75.2442,2861,101
NJPR,Princeton,40.341,-74.6649,2804,124.7
WASE,Seattle,47.6017,-122.3341,2761,294.4
OREU,Eugene,44.0768,-123.179,2721,266.7
PACB,Central Bucks County,40.3102,-75.1017,2702,114.6
WVWH,Wheeling,40.0966,-80.6618,2700,70.2
FLGA,Gainesville,29.6027,-82.3127,2700,287.9
FLZE,Zellwood-Mount Dora,28.7309,-81.6062,2700,142.3
WATC,Tri-Cities,46.2357,-119.1805,2625,144.5
PAPI,Pittsburgh,40.5091,-79.9703,2614,223
NJCC,Cumberland County,39.3325,-75.2004,2579,189
KSMA,Manhattan,39.1833,-96.5667,2552,96.5
DCDC,Washington,38.8674,-77.0685,2545,217.3
NJRE,Raritan Estuary,40.5167,-74.35,2525,133.5
COLV,Loveland,40.4077,-105.1653,2518,212.2
ALMO,Montgomery,32.3496,-86.3831,2505,46.9
FLCR,Crystal River,28.8712,-82.5776,2500,84
FLME,Melrose,29.748,-81.9929,2500,126.9
BCVI,Victoria,48.4667,-123.4,2436,440.5
CASZ,Sonoma Valley,38.2931,-122.5037,2418,215
WVIN,Inwood,39.4451,-78.1061,2289,71.3
OHHF,Hamilton-Fairfield,39.4004,-84.536,2270,33.5
ORAI,Airlie,44.7131,-123.1744,2229,160.4
TXBZ,Brazos Bend,29.3734,-95.6688,2217,109.3
KSLA,Lawrence,38.9933,-95.3111,2200,78
KYLO,Louisville,38.2813,-85.6348,2189,12
ALWD,Wheeler Dam,34.789,-87.3903,2181,90.5
ALWD,Wheeler Dam,34.789,-87.3903,2181,90.5
NJMO,Moorestown,39.9422,-74.9391,2159,134
OHOS,O'Shaughnessy Reservoir,40.2167,-83.2167,2155,92.3
MANO,Northampton,42.3439,-72.6028,2154,355.2
KSTO,Topeka,39.0483,-95.6779,2135,59
FLWV,West Volusia County,29.0543,-81.3039,2100,53.5
ORCO,Corvallis,44.5071,-123.2695,2071,139.8
NEOM,Omaha,41.1143,-95.8849,2070,56
CAPC,Putah Creek,38.481,-122.0306,2069,186.4
TXNA,Nacogdoches,31.5332,-94.6563,2069,113.5
ORRS,Roseburg-Sutherlin,43.3177,-123.3473,2065,98.5
OKOC,Oklahoma City,35.5368,-97.5834,2053,112.9
KSOP,Oskaloosa-Perry Lake,39.2014,-95.4032,2023,33
VAHO,Hopewell,37.367,-77.2842,2018,116.3
CAST,Stockton,38.116,-121.3954,2008,110.8
FLNR,West Pasco (New Port Richey),28.2604,-82.6949,2000,145
KSWI,Wichita,37.6912,-97.3496,1968,47.7
CARC,Rio Cosumnes,38.3505,-121.4175,1963,222
TXTC,Turkey Creek,30.5168,-94.3167,1954,50.1
OHCS,Caesar Creek-Spring Valley,39.501,-84.0224,1915,33
PAWY,Wyncote,40.1223,-75.128,1886,76.5
ARFA,Fayetteville,36.0566,-94.1719,1883,75.5
VABB,Back Bay N.W.R.,36.65,-76,1853,114
VTMB,Middlebury,43.9673,-73.2755,1837,107.2
MAPL,Plymouth,41.8733,-70.6012,1826,70.5
COBO,Boulder,40.0256,-105.2725,1816,258.2
PAGL,Delaware County (Glenolden),39.8992,-75.3729,1811,140
CAAG,Angwin,38.5715,-122.3977,1808,96.6
FLPI,Ponce Inlet,29.0623,-81.0073,1800,97
CAWS,Western Sonoma County,38.3853,-123.0306,1740,196
MSNO,Noxubee N.W.R.,33.2784,-88.7929,1737,57.5
PABK,Buffalo Creek,40.2,-80.4458,1725,104.2
DECH,Cape Henlopen-Prime Hook,38.8072,-75.1878,1706,80.8
MOTC,Taney County,36.607,-93.183,1700,74.5
MDCR,Crisfield,38.0298,-75.7577,1678,141.8
ORCV,Coquille Valley,43.115,-124.2983,1666,130.2
SCAB,Ace Basin,32.6126,-80.4813,1655,54.8
KSUW,Udall-Winfield,37.2647,-96.9756,1653,41.5
FLAP,Avon Park A.F. Range,27.6501,-81.3167,1650,106.3
MDSE,Seneca,39.0671,-77.3285,1638,232.6
SCSP,Spartanburg,34.9,-81.95,1629,53
UTPR,Provo,40.2526,-111.6688,1570,122.5
IDHV,Hagerman Valley,42.8167,-114.9,1543,63.1
TXBO,Boerne,29.8666,-98.7901,1517,104.5
OKKE,Kenton (Black Mesa),36.9033,-102.8912,1514,9
NJSO,Somerset County,40.5823,-74.622,1506,87.4
IADS,DeSoto N.W.R.,41.4509,-95.9642,1505,116.7
FLMT,Matanzas,29.7154,-81.2827,1500,101
VACA,Charlottesville,38.0668,-78.5667,1482,143.7
TXVI,Victoria,28.8723,-97.0784,1479,79.5
OHCC,Clark County,39.9214,-83.7798,1479,56
MOML,Montrose Lake Wildlife Area,38.2521,-93.8217,1454,46.5
MANA,Nantucket,41.2901,-70.0901,1447,95.6
VANR,Nansemond River,36.8472,-76.4333,1420,97.7
MABB,Buzzards Bay,41.6517,-70.6206,1405,75
MOSJ,St. Joseph,39.7973,-94.844,1402,75.3
FLJA,Jacksonville,30.4152,-81.4877,1400,122.2
LAFP,Fort Polk,31.334,-93.439,1398,45
NJOC,Oceanville,39.4422,-74.4605,1390,75.5
ORPO,Port Orford,42.8196,-124.4828,1362,80
IDJU,Juliaetta-Lower Potlatch River,46.555,-116.6725,1361,41
CACB,Centerville Beach to King Salmon,40.642,-124.2428,1361,133
VAWI,Williamsburg,37.2792,-76.6987,1357,137
ORDA,Dallas,44.8965,-123.3384,1349,112.4
MDJB,Jug Bay,38.7532,-76.6415,1331,118.2
UTSL,Salt Lake City,40.7695,-111.8884,1325,102.4
INLA,Lafayette,40.4605,-86.9157,1320,51.2
CACA,Calaveras,38.2108,-120.4144,1319,76.5
FLWR,Wekiva River,28.7863,-81.3679,1300,144.7
WVHU,Huntington,38.3928,-82.4343,1299,60.2
DEMF,Milford,38.9595,-75.4275,1290,75.2
IDBR,Bruneau,42.9252,-115.858,1286,43.4
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,1286,103.7
SCSI,Sea Islands,32.6296,-80.1146,1277,124.5
RINC,Newport County-Westport,41.5369,-71.1566,1273,134
MOSP,Springfield,37.2174,-93.239,1268,108
PALB,Southern Bucks County,40.1765,-74.8971,1264,98.7
OHGC,Greene County,39.7219,-83.9115,1262,48.5
NJBA,Barnegat,39.6667,-74.1667,1261,132
ORSA,Salem,44.9437,-123.0388,1256,131.7
FLAB,Aripeka-Bayport,28.4667,-82.5833,1250,57
WASJ,San Juan Islands Archipelago,48.5462,-123.013,1244,115
WAOL,Olympia,47.0722,-122.8533,1243,205.9
VAAC,Augusta County,38.2046,-78.9913,1236,57.5
MSSH,Southern Hancock County,30.2906,-89.5034,1236,61
FLST,Stuart,27.2121,-80.2624,1200,184
FLCC,Clay County (east),30.0296,-81.7418,1200,141
FLCC,Clay County (east),30.0296,-81.7418,1200,141
FLCC,Clay County (east),30.0296,-81.7418,1200,141
CAPA,Palo Alto,37.4064,-122.1559,1187,295.5
COGJ,Grand Junction,39.1208,-108.6081,1184,196
KSRH,Red Hills,37.13,-98.42,1179,34.5
ORYV,Yamhill Valley,45.1579,-123.2815,1176,71.5
ALWH,Wheeler N.W.R.,34.6001,-86.8837,1170,75.2
CAMC,Marin County (southern),37.9214,-122.5643,1161,316.5
KSWS,Wilson Reservoir,38.9441,-98.5711,1150,23
CAOA,Oakland,37.8146,-122.233,1143,481.3
GAAU,Augusta,33.4393,-82.0239,1139,58.6
MOJC,Jefferson City,38.5815,-92.1834,1138,28.8
COFC,Fort Collins,40.6454,-105.1141,1124,163.1
CAAA,Auburn,38.9758,-121.1438,1120,170
FLMR,Myakka River S.P.,27.233,-82.236,1100,70.9
NVTM,Truckee Meadows,39.4679,-119.8205,1098,88.3
NCKH,Kitty Hawk,36.031,-75.7185,1094,90
TNPC,Perry County,35.725,-87.8667,1081,48
TNKN,Knoxville,35.9136,-84.0796,1068,106.3
WAVA,Vashon,47.4332,-122.5067,1068,166.5
WAWW,Walla Walla,46.0667,-118.2333,1067,92.5
ARCO,Conway,35.0916,-92.4227,1067,55
RISK,South Kingstown,41.4295,-71.5588,1063,117
TXTT,Tenaha-Timpson,31.961,-94.421,1056,42.5
MAGB,Greater Boston,42.3973,-71.0955,1053,227
LAST,St. Tammany Parish,30.4211,-90.0886,1049,82.7
