year,site,number,prev.num
1986,CH,1093,NA
1987,CH,417,1093
1988,CH,804,417
1989,CH,757,804
1990,CH,1188,757
1991,CH,612,1188
1992,CH,1512,612
1993,CH,138,1512
1994,CH,320,138
1995,CH,262,320
1996,CH,326,262
1997,CH,126,326
1998,CH,70,126
1999,CH,155,70
2000,CH,184,155
2001,CH,127,184
2002,CH,40,127
2003,CH,245,40
2004,CH,51,245
1990,MH,5334,NA
1991,MH,8006,5334
1992,MH,5733,8006
1993,MH,2483,5733
1994,MH,3859,2483
1995,MH,4866,3859
1996,MH,3894,4866
1997,MH,4245,3894
1998,MH,6418,4245
1999,MH,11498,6418
2000,MH,3038,11498
2001,MH,2666,3038
2002,MH,4905,2666
2003,MH,6550,4905
2004,MH,2037,6550
