indID,ID,treatment,date,trackID,sex,starttime,interval,gps.num,index,waypt,flag,latitude,longitude,behavior,nect.plant,habitat,Chel_Plan,release.area,recorder,tracker,temp,cloudcover,Notes,Notes2,track_num,track_flag,time,eastings,northings,Edisp,Ndisp,step,angle,turnangle,angleradians,cosangle,virgin_mated,IsDate,inithost,finhost,doy,firstmarked,doy_1stMark,app.age,age.dev,doy.dev
L-LLR,2013-6-23-9-6,T_T,23-Jun,23-Jun_L-LLR,Female,12:56pm,15,3,1,396,1,42.485538,-71.568492,p,cup,wet,Chelone,dorm 9,Emma,Lee,90,sunny,virgin,,2,2_1,15,288902.0009,4706884.122,NA,NA,1.999972763,NA,NA,NA,NA,virgin,6/23/13,T,T,0,6/23/13,0,0,-1.266106443,-11.89495798
L-LLR,2013-6-23-9-6,T_T,23-Jun,23-Jun_L-LLR,Female,12:56pm,15,3,2,397,2,42.485521,-71.568484,p,stick,wet,none,dorm 9,Emma,Lee,90,sunny,virgin,,2,2_2,15,288902.6012,4706882.214,0.600342697,-1.907742042,1.608812944,162.5318595,4.396674,0.076736437,0.997057204,virgin,6/23/13,T,T,0,6/23/13,0,0,-1.266106443,-11.89495798
L-LLR,2013-6-23-9-6,T_T,23-Jun,23-Jun_L-LLR,Female,12:56pm,15,3,6,398,3,42.485507,-71.568479,p,aster,wet,none,dorm 9,Emma,Lee,90,sunny,virgin,,2,2_3,705,288902.9651,4706880.647,0.363859169,-1.56712654,3.331732863,166.9285335,-25.11211859,-0.438289152,0.905479057,virgin,6/23/13,T,T,0,6/23/13,0,0,-1.266106443,-11.89495798
L-LLR,2013-6-23-9-6,T_T,23-Jun,23-Jun_L-LLR,Female,12:56pm,15,3,52,399,4,42.485484,-71.568453,p,grass,up,none,dorm 9,Emma,Lee,90,sunny,virgin,,2,2_4,60,288905.0247,4706878.028,2.059621373,-2.618855412,0.333297575,141.8164149,-320.081034,-5.586467916,0.766952778,virgin,6/23/13,T,T,0,6/23/13,0,0,-1.266106443,-11.89495798
L-LLR,2013-6-23-9-6,T_T,23-Jun,23-Jun_L-LLR,Female,12:56pm,15,3,99,400,5,42.485481,-71.568453,f,n/a,up,none,dorm 9,Emma,Lee,90,sunny,virgin,,2,2_5,690,288905.0146,4706877.695,-0.01009341,-0.333144709,3.792891668,-178.2646191,119.8647557,2.092034645,-0.497954393,virgin,6/23/13,T,T,0,6/23/13,0,0,-1.266106443,-11.89495798
L-LLR,2013-6-23-9-6,T_T,23-Jun,23-Jun_L-LLR,Female,12:56pm,15,3,100,401,6,42.485498,-71.568493,p,aster,wet,none,dorm 9,Emma,Lee,90,sunny,virgin,,2,2_6,705,288901.7841,4706879.682,-3.230503252,1.98742948,0.236925998,-58.39986337,39.82699003,0.695112107,0.767981905,virgin,6/23/13,T,T,0,6/23/13,0,0,-1.266106443,-11.89495798
L-LLR,2013-6-23-9-6,T_T,23-Jun,23-Jun_L-LLR,Female,12:56pm,15,3,157,402,7,42.4855,-71.568494,p,Swida,wet,none,dorm 9,Emma,Lee,90,sunny,virgin,,2,2_7,15,288901.7086,4706879.907,-0.075463431,0.22458673,0.60542019,-18.57287334,63.08293815,1.101004972,0.452700254,virgin,6/23/13,T,T,0,6/23/13,0,0,-1.266106443,-11.89495798
L-LLR,2013-6-23-9-6,T_T,23-Jun,23-Jun_L-LLR,Female,12:56pm,15,3,198,403,8,42.485504,-71.568489,p,aster,wet,none,dorm 9,Emma,Lee,90,sunny,virgin,,2,2_8,855,288902.1331,4706880.338,0.424420468,0.431741673,0.844391726,44.5100648,114.2997233,1.994906506,-0.411509957,virgin,6/23/13,T,T,0,6/23/13,0,0,-1.266106443,-11.89495798
L-LLR,2013-6-23-9-6,T_T,23-Jun,23-Jun_L-LLR,Female,12:56pm,15,3,277,404,9,42.485497,-71.568485,p,aster,wet,none,dorm 9,Emma,Lee,90,sunny,virgin,,2,2_9,615,288902.4383,4706879.551,0.305218301,-0.787298657,1.294591113,158.8097881,-297.640836,-5.194812576,0.463927535,virgin,6/23/13,T,T,0,6/23/13,0,0,-1.266106443,-11.89495798
L-LLR,2013-6-23-9-6,T_T,23-Jun,23-Jun_L-LLR,Female,12:56pm,15,3,313,405,10,42.485488,-71.568495,p,grass,wet,none,dorm 9,Emma,Lee,90,sunny,virgin,,2,2_10,1185,288901.5861,4706878.577,-0.85220556,-0.974531597,0.1984698,-138.8310479,16.52595367,0.288432304,0.958690984,virgin,6/23/13,T,T,0,6/23/13,0,0,-1.266106443,-11.89495798
L-LLR,2013-6-23-9-6,T_T,23-Jun,23-Jun_L-LLR,Female,12:56pm,15,3,314,406,11,42.485487,-71.568497,p,Swida,wet,none,dorm 9,Emma,Lee,90,sunny,virgin,,2,2_11,540,288901.4183,4706878.471,-0.167749517,-0.106067719,NA,-122.3050942,NA,NA,NA,virgin,6/23/13,T,T,0,6/23/13,0,0,-1.266106443,-11.89495798
R-RSB,2013-6-24-33-8,T_P,24-Jun,24-Jun_R-RSclear,Female,11:29am,15,1,1,558,1,42.484784,-71.568824,p,cup,up,Plantago,dorm 30,Emma,Lee,88,sunny,virgin,recorded as R-Rsclear but changed here to R-RSB,4,4_1,105,288872.1758,4706801.218,NA,NA,0.694361313,NA,NA,NA,NA,virgin,6/24/13,T,P,1,6/24/13,1,0,-1.266106443,-10.89495798
R-RSB,2013-6-24-33-8,T_P,24-Jun,24-Jun_R-RSclear,Female,11:29am,15,1,8,559,2,42.484786,-71.568832,p,aster,up,Plantago,dorm 30,Emma,Lee,88,sunny,virgin,recorded as R-Rsclear but changed here to R-RSB,4,4_2,4260,288871.525,4706801.46,-0.650817515,0.242021064,0.111099197,-69.60122198,-108.6631639,-1.896529985,-0.320003952,virgin,6/24/13,T,P,1,6/24/13,1,0,-1.266106443,-10.89495798
R-RSB,2013-6-24-33-8,T_P,24-Jun,24-Jun_R-RSclear,Female,11:29am,15,1,292,560,3,42.484785,-71.568832,f,n/a,up,Plantago,dorm 30,Emma,Lee,88,sunny,virgin,recorded as R-Rsclear but changed here to R-RSB,4,4_3,15,288871.5216,4706801.349,-0.003364922,-0.111048228,0.222198396,-178.2643859,-6.73E-08,-1.17E-09,1,virgin,6/24/13,T,P,1,6/24/13,1,0,-1.266106443,-10.89495798
R-RSB,2013-6-24-33-8,T_P,24-Jun,24-Jun_R-RSclear,Female,11:29am,15,1,293,561,4,42.484783,-71.568832,p,aster,up,Plantago,dorm 30,Emma,Lee,88,sunny,virgin,recorded as R-Rsclear but changed here to R-RSB,4,4_4,1020,288871.5149,4706801.127,-0.006729844,-0.222096457,NA,-178.2643859,NA,NA,NA,virgin,6/24/13,T,P,1,6/24/13,1,0,-1.266106443,-10.89495798
R-SGS,2013-6-24-30-15,T_P,24-Jun,24-Jun_R-SGS,Female,2:35pm,15,1,1,567,1,42.484788,-71.56884,p,cup,up,Plantago,dorm 30,Elizabeth/Lee,Natasha/Emma,88,sunny,virgin,,5,5_1,495,288870.8742,4706801.702,NA,NA,13.83907894,NA,NA,NA,NA,virgin,6/24/13,T,P,1,6/24/13,1,0,-1.266106443,-10.89495798
R-SGS,2013-6-24-30-15,T_P,24-Jun,24-Jun_R-SGS,Female,2:35pm,15,1,34,568,2,42.484819,-71.569003,f,n/a,up,Plantago,dorm 30,Elizabeth/Lee,Natasha/Emma,88,sunny,virgin,,5,5_2,15,288857.581,4706805.551,-13.29320711,3.848473788,7.44808002,-73.8539108,12.17272856,0.212454192,0.977516369,virgin,6/24/13,T,P,1,6/24/13,1,0,-1.266106443,-10.89495798
R-SGS,2013-6-24-30-15,T_P,24-Jun,24-Jun_R-SGS,Female,2:35pm,15,1,35,570,3,42.484849,-71.569084,p,aster,up,Plantago,dorm 30,Elizabeth/Lee,Natasha/Emma,88,sunny,virgin,,5,5_3,1065,288851.0243,4706809.084,-6.556705722,3.53320054,1.466864557,-61.68118223,-8.947732755,-0.156167397,0.987830635,virgin,6/24/13,T,P,1,6/24/13,1,0,-1.266106443,-10.89495798
R-SGS,2013-6-24-30-15,T_P,24-Jun,24-Jun_R-SGS,Female,2:35pm,15,1,106,569,4,42.484853,-71.569101,p,aster,up,Plantago,dorm 30,Elizabeth/Lee,Natasha/Emma,88,sunny,virgin,,5,5_4,30,288849.6404,4706809.57,-1.383825599,0.48653709,9.492108376,-70.62891499,10.28065026,0.179431196,0.983945366,virgin,6/24/13,T,P,1,6/24/13,1,0,-1.266106443,-10.89495798
R-SGS,2013-6-24-30-15,T_P,24-Jun,24-Jun_R-SGS,Female,2:35pm,15,1,108,571,5,42.484893,-71.569203,f,n/a,up,none,dorm 30,Elizabeth/Lee,Natasha/Emma,88,sunny,virgin,,5,5_5,15,288841.3913,4706814.266,-8.24910321,4.696000176,4.1661618,-60.34826473,-9.25265192,-0.161489241,0.986988926,virgin,6/24/13,T,P,1,6/24/13,1,0,-1.266106443,-10.89495798
R-SGS,2013-6-24-30-15,T_P,24-Jun,24-Jun_R-SGS,Female,2:35pm,15,1,109,572,6,42.484905,-71.569251,p,gallium,up,none,dorm 30,Elizabeth/Lee,Natasha/Emma,88,sunny,virgin,,5,5_6,3780,288837.4865,4706815.718,-3.904891653,1.452145075,NA,-69.60091665,NA,NA,NA,virgin,6/24/13,T,P,1,6/24/13,1,0,-1.266106443,-10.89495798
R-LLG,2013-6-25-4-20,P_T,25-Jun,25-Jun_R-LLG,Female,11:28am,15,3,1,449,1,42.485562,-71.568547,p,cup,wet,Chelone,dorm 4,Emma,Lee,80,sunny,virgin,,6,6_1,210,288897.561,4706886.924,NA,NA,0.52927506,NA,NA,NA,NA,virgin,6/25/13,P,T,2,6/25/13,2,0,-1.266106443,-9.894957983
R-LLG,2013-6-25-4-20,P_T,25-Jun,25-Jun_R-LLG,Female,11:28am,15,3,15,450,2,42.485559,-71.568542,p,grass,wet,Chelone,dorm 4,Emma,Lee,80,sunny,virgin,,6,6_2,1125,288897.9619,4706886.578,0.400868212,-0.345596246,0.08223012,130.7652615,-39.02981773,-0.681198826,0.776818347,virgin,6/25/13,P,T,2,6/25/13,2,0,-1.266106443,-9.894957983
