ITS,Success,Food,BroodDay,DevDay,WorkNum
7.71,0,High,,,
6.54,0,High,9,,
6.69,0,High,9,,
6.67,0,High,,,
6.16,0,High,8,,
6.37,0,High,,,
6.62,0,High,24,,
7.58,0,High,,,
6.66,0,High,,,
6.6,1,High,24,21,8
6.35,1,High,13,40,4
6.14,0,High,,,
5.96,0,High,,,
7.56,1,High,5,29,2
7.2,1,High,7,29,1
6.99,0,High,9,,
6.7,0,High,8,,
6.93,1,High,6,28,1
7.15,1,High,26,21,3
6.84,0,High,,,
5.99,1,High,9,24,4
6.49,1,High,4,21,5
6.95,1,High,5,24,8
6.89,0,High,21,,
6.75,1,High,6,21,3
6.02,0,High,,,
7.4,0,High,,,
7,1,High,15,20,5
6.35,1,High,23,20,4
6.11,0,High,,,
5.88,0,High,,,
5.11,0,High,,,
5.92,0,High,5,,
5.99,1,Low,10,29,2
7.2,1,Low,10,41,4
6.7,1,Low,19,28,3
7.09,0,Low,,,
6.77,0,Low,10,,
6.53,1,Low,21,41,1
6.52,0,Low,17,,
7.06,0,Low,,,
7.16,0,Low,17,,
8.03,0,Low,7,,
6.99,0,Low,23,,
NA,0,Low,,,
7.11,0,Low,25,,
6.92,0,Low,6,,
6.53,0,Low,4,,
6.1,1,Low,14,24,1
6.17,0,Low,20,,
6.32,1,Low,20,29,3
7.11,0,Low,,,
7.32,0,Low,6,,
7.15,0,Low,,,
7.19,0,Low,,,
6.96,0,Low,,,
7.13,0,Low,4,,
5.74,0,Low,,,
6.12,1,Low,4,30,1
6.33,0,Low,,,
6.99,0,Low,4,,
6.68,0,Low,4,,
6.55,0,Low,,,
7.74,0,Low,4,,
