branch_id,plant_id,orientation,farmer,plot_type,fert_trt,shd_trt,jun_frt,dec_dieback,binom_dieback
1057,1,N,Fernando,hshd,h,shd,96,n ,0
1058,1,S,Fernando,hshd,h,shd,129,n,0
1059,1,E,Fernando,hshd,h,shd,85,n,0
1060,1,W,Fernando,hshd,h,shd,109,n,0
1061,2,N,Fernando,hshd,h,shd,30,n,0
1062,2,S,Fernando,hshd,h,shd,7,n,0
1063,2,E,Fernando,hshd,h,shd,54,n,0
1064,2,W,Fernando,hshd,h,shd,12,n,0
1065,3,N,Fernando,hshd,h,shd,15,n,0
1066,3,S,Fernando,hshd,h,shd,56,n,0
1067,3,E,Fernando,hshd,h,shd,37,n,0
1068,3,W,Fernando,hshd,h,shd,40,n,0
1069,4,N,Fernando,hshd,h,shd,113,n,0
1070,4,S,Fernando,hshd,h,shd,28,n,0
1071,4,E,Fernando,hshd,h,shd,16,n,0
1072,4,W,Fernando,hshd,h,shd,14,n,0
1073,5,N,Fernando,hshd,h,shd,128,n,0
1074,5,S,Fernando,hshd,h,shd,57,n,0
1075,5,E,Fernando,hshd,h,shd,69,n,0
1076,5,W,Fernando,hshd,h,shd,81,n,0
1077,6,N,Fernando,hshd,h,shd,21,n,0
1078,6,S,Fernando,hshd,h,shd,67,n,0
1079,6,E,Fernando,hshd,h,shd,23,n,0
1080,6,W,Fernando,hshd,h,shd,41,n,0
1081,7,N,Fernando,hshd,h,shd,68,n,0
1082,7,S,Fernando,hshd,h,shd,124,n,0
1083,7,E,Fernando,hshd,h,shd,79,n,0
1084,7,W,Fernando,hshd,h,shd,31,n,0
1085,8,N,Fernando,hshd,h,shd,108,n,0
1086,8,S,Fernando,hshd,h,shd,142,y,1
1087,8,E,Fernando,hshd,h,shd,3,n,0
1088,8,W,Fernando,hshd,h,shd,40,n,0
1089,9,N,Fernando,hshd,h,shd,81,n,0
1090,9,S,Fernando,hshd,h,shd,22,y,1
1091,9,E,Fernando,hshd,h,shd,25,n,0
1092,9,W,Fernando,hshd,h,shd,92,n,0
1093,10,N,Fernando,hshd,h,shd,75,y,1
1094,10,S,Fernando,hshd,h,shd,157,n,0
1095,10,E,Fernando,hshd,h,shd,123,y,1
1096,10,W,Fernando,hshd,h,shd,93,n,0
1097,11,N,Fernando,hshd,h,shd,58,n,0
1098,11,S,Fernando,hshd,h,shd,82,n,0
1099,11,E,Fernando,hshd,h,shd,96,n,0
1100,11,W,Fernando,hshd,h,shd,21,y,1
1101,12,N,Fernando,hshd,h,shd,78,y,1
1102,12,S,Fernando,hshd,h,shd,44,n,0
1103,12,E,Fernando,hshd,h,shd,87,n,0
1104,12,W,Fernando,hshd,h,shd,21,n,0
1105,13,N,Fernando,hshd,h,shd,113,n,0
1106,13,S,Fernando,hshd,h,shd,97,n,0
1107,13,E,Fernando,hshd,h,shd,52,n,0
1108,13,W,Fernando,hshd,h,shd,32,n,0
1109,14,N,Fernando,hshd,h,shd,103,n,0
1110,14,S,Fernando,hshd,h,shd,81,n,0
1111,14,E,Fernando,hshd,h,shd,146,n,0
1112,14,W,Fernando,hshd,h,shd,141,n,0
1113,15,N,Fernando,hshd,h,shd,33,n,0
